NETWORK OPERATION COMMAND CENTER (NOCC),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MPLS || Temperature,,,,,Switch || Losses,,,,,Link Down/Flapping/Optical/CRC/Traffic Congestion/TV ISSUE,,,,,,PENDINGS,
Date,MPLS,Reason,DownTime,,Date,Switch,Reason,DownTime,,Date,Link,Reason,DownTime,TYPE,,SWITCH,MPLS
,All MPLS UP,,,,,All Switch are UP,,,,12th Ashoj,millam - mdamak [10G] - TM Fiber,Fiber Breakage,9/28/2024 17:15:20,Link Down,FALSE,All Switch are UP.subisu.net.np,All MPLS UP.subisu.net.np
,,,,,,,,,,5th Falgun,mbardaghat - mbhairahawa [10G] - Optical,Optical Power,2/18/2025 19:16:00,Optical Power,FALSE,,
,,,,,,,,,,12th Chaitra,murlabari-dls-sw1-mrangeli-dls-sw1,CRC Issue,3/24/2025 22:37:00,CRC,FALSE,,
,,,,,,,,,,15th Baisakh,Daphelake-Jumlabazaar Device damage,Wireless Device Damage,4/28/2025 18:26:14,Link Down,FALSE,,
,,,,,,,,,,25th Baisakh,Optical Optimization || mghorahi-mlamahi,Optical Power,5/8/2025 12:41:00,Optical Power,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,,,FALSE,,
