SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Down Count
1,millam - mdamak [10G] - TM Fiber,FALSE,9/28/2024 17:15:20,,Link Down,********,Fiber Breakage,12th Ashoj,"303 days, 00 hrs, 58 min", millam - mdamak link will be maintain after 1/2 months due to NEA task is pending as pole is not shifted.,Fiber,,1
2,mbardaghat - mbhairahawa [10G] - Optical,,2/18/2025 19:16:00,,Optical Power,********,Optical Power,5th Falgun,"159 days, 22 hrs, 58 min",As per Dinesh ji Team is busy at retail client support Team will look into the issue tomorrow,Fiber,,1
3,murlabari-dls-sw1-mrangeli-dls-sw1,,3/24/2025 22:37:00,,CRC,********,CRC Issue,12th Chaitra,"125 days, 19 hrs, 37 min","Please proceed for the procurement of 5pairs 1270/1330nm, 60km SFP modules.",Fiber,,1
1,mguleriya-sw1,FALSE,4/14/2025 2:43:49,4/14/2025 6:50:06,Switch,Far Western Region,Routed,1st Baisakh,"0 days, 04 hrs, 06 min",,Fiber,0.1710300926,4
2,mmachhi-sw1,FALSE,4/14/2025 5:31:47,4/14/2025 12:37:00,Switch,Western Region,CT Line Issue/Backup Drained,1st Baisakh,"0 days, 07 hrs, 05 min",,Power,0.2952893518,10
3,mpulchowk <-> mnewroad [10G],,4/14/2025 6:21:01,4/14/2025 14:58:51,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 08 hrs, 37 min",Fiber breakage measured at 1.5km from Newroad pop.,Fiber,0.3596064815,1
4,mbhorledanda-sw1,FALSE,4/14/2025 8:24:12,4/14/2025 9:30:28,Switch,Central Region,Rebooted,1st Baisakh,"0 days, 01 hrs, 06 min",,Power,0.04601851851,27
5,mliwang-sw1,FALSE,4/14/2025 8:26:20,4/14/2025 8:51:55,Switch,Western Region,CT Line Issue/Backup Drained,1st Baisakh,"0 days, 00 hrs, 25 min",,Power,0.0177662037,21
6,mmainapokhar-sw1-mguleriya-sw1,,4/14/2025 6:50:06,4/15/2025 23:48:00,Link Down,********,Fiber Breakage,1st Baisakh,"1 days, 16 hrs, 57 min",We will link tonight and will inform you.,Fiber,1.706875,2
7,mmachhi-sw1,FALSE,4/14/2025 10:19:51,4/14/2025 12:37:00,Switch,Western Region,CT Line Issue/Backup Drained,1st Baisakh,"0 days, 02 hrs, 17 min",,Power,0.09524305556,10
8,mbutwal-dh - mkohalpur [100G],,4/14/2025 10:56:00,4/14/2025 10:56:00,Link Flap,********,Link Flap,1st Baisakh,"0 days, 00 hrs, 00 min",,Link Issue,0,1
9,mkataribazaar-sw1,FALSE,4/14/2025 11:59:46,4/14/2025 13:41:59,Switch,Eastern Region,Rebooted,1st Baisakh,"0 days, 01 hrs, 42 min",,Power,0.0709837963,11
10,mchabahil - mbattisputali [10G],,4/14/2025 11:56:23,4/14/2025 12:56:23,Link Down,********,Fiber Breakage,1st Baisakh,"0 days, 01 hrs, 00 min",Fiber breakages maintained.,Fiber,0.04166666666,2
11,mbhairahawa-dls-sw2 - mbishnupura-sw1,,4/14/2025 12:00:48,4/14/2025 14:28:35,Link Down,********,Unknown,1st Baisakh,"0 days, 02 hrs, 27 min",,Unknown,0.1026273148,1
12,Port:0/0/44 Connected-to-pss32-damak at-mdamak-sw1,,4/14/2025 18:04:33,4/14/2025 18:04:33,Link Flap,********,Link Flap,1st Baisakh,"0 days, 00 hrs, 00 min",,Link Issue,0,2
