SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Down Count
1,millam - mdamak [10G] - TM Fiber,FALSE,9/28/2024 17:15:20,,Link Down,********,Fiber Breakage,12th Ashoj,"302 days, 01 hrs, 50 min", millam - mdamak link will be maintain after 1/2 months due to NEA task is pending as pole is not shifted.,Fiber,,1
2,mbardaghat - mbhairahawa [10G] - Optical,,2/18/2025 19:16:00,,Optical Power,********,Optical Power,5th Falgun,"158 days, 23 hrs, 50 min","As per Dinesh jee, matter will be checked only after the machine gets received from KTM.",Fiber,,1
3,murlabari-dls-sw1-mrangeli-dls-sw1,,3/24/2025 22:37:00,,CRC,********,CRC Issue,12th Chaitra,"124 days, 20 hrs, 29 min","Please proceed for the procurement of 5pairs 1270/1330nm, 60km SFP modules.",Fiber,,1
4,Daphelake-Jumlabazaar Device damage,,4/28/2025 18:26:14,,Link Down,********,Wireless Device Damage,15th Baisakh,"90 days, 00 hrs, 40 min", As per conversation with jhak dai lamahi franchise he already send the below mention fiber to ghorahi branch as per Gagan ji our ghorahi BTI there was raining today and unable to working for the task. So they will planning for it for replacement and update us back as soon as possible. Thank you  ,Device,,1
5,Optical Optimization || mghorahi-mlamahi,,5/8/2025 12:41:00,,Optical Power,********,Optical Power,25th Baisakh,"80 days, 06 hrs, 25 min",As per Gagan ji still not provided exact time by LCO team for maintenance . It will take some days ,Fiber,,1
1,mpurtighat-sw1,FALSE,5/15/2025 0:20:56,5/15/2025 6:11:57,Switch,Western Region,Rebooted,1st Jestha,"0 days, 05 hrs, 51 min",,Power,0.2437615741,6
2,mdailekh-sw1,FALSE,5/15/2025 2:02:16,5/15/2025 4:16:00,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 00 min",,Power,,4
3,mnayasaghu-sw1,,5/15/2025 2:14:00,5/15/2025 5:12:12,Switch,********,Rebooted,1st Jestha,"0 days, 02 hrs, 58 min",,Power,0.12375,7
4,mbudathum-sw1,FALSE,5/15/2025 2:46:52,5/15/2025 3:29:06,Switch,Gorkha NTA,Rebooted,1st Jestha,"0 days, 00 hrs, 42 min",,Power,0.02932870371,15
5,mdoti-sw1,FALSE,5/15/2025 3:13:20,5/15/2025 3:18:36,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 05 min",,Power,0.003657407404,6
6,msardi-sw1,FALSE,5/15/2025 6:13:26,5/15/2025 6:45:36,Switch,Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 32 min",,Power,0.02233796297,81
7,mjhalari-sw1,FALSE,5/15/2025 6:11:41,5/15/2025 7:39:41,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 01 hrs, 28 min",,Power,0.06111111111,6
8,mkhawadanda-sw1,FALSE,5/15/2025 7:43:27,5/15/2025 8:03:27,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 20 min",,Power,0.01388888889,27
9,mkhalanga-dls-sw1,FALSE,5/15/2025 8:07:10,5/15/2025 8:27:10,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 20 min",,Power,0.01388888889,3
10,msakhu <->msundarijal [10G],,5/15/2025 8:33:10,5/15/2025 14:03:00,Optical Power,********,Optical Power,1st Jestha,"0 days, 05 hrs, 29 min",Team Jorpati is preparing to move ahead to verify the link.,Fiber,0.2290509259,2
11,mairport-tia-wl-sw3,,5/15/2025 9:39:37,5/15/2025 20:39:53,Switch,********,Rebooted,1st Jestha,"0 days, 11 hrs, 00 min",,Power,0.4585185185,27
12,mbhimphedi-sw1,FALSE,5/15/2025 10:48:00,5/15/2025 12:40:09,Switch,Central Region,Rebooted,1st Jestha,"0 days, 01 hrs, 52 min",,Power,0.07788194445,15
13,mdulegauda,FALSE,5/15/2025 10:57:00,5/15/2025 11:40:35,MPLS,Highway PoP,CT Line Issue/Backup Drained,1st Jestha,"0 days, 00 hrs, 43 min",,Power,0.0302662037,9
14,mjitpur-sw1,FALSE,5/15/2025 10:57:00,5/15/2025 11:00:00,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 03 min",,Power,0.002083333333,4
15,mdumkibas,FALSE,5/15/2025 11:05:39,5/15/2025 12:39:52,MPLS,Western Region,Fiber Breakage,1st Jestha,"0 days, 01 hrs, 34 min",,Fiber,0.06542824074,25
16,mparwanipur-sw1,FALSE,5/15/2025 11:10:00,5/15/2025 11:37:56,Switch,Central Region,Rebooted,1st Jestha,"0 days, 00 hrs, 27 min",,Power,0.01939814814,9
17,mmidmarsyangdi-dam-sw1,FALSE,5/15/2025 11:02:00,5/15/2025 11:21:27,Switch,Highway PoP,Rebooted,1st Jestha,"0 days, 00 hrs, 19 min",,Power,0.01350694444,13
18,mkhalanga-dls-sw1,FALSE,5/15/2025 10:58:50,5/15/2025 11:41:00,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 42 min",,Power,0.02928240741,3
19,mdailekh-sw1,FALSE,5/15/2025 11:00:14,5/15/2025 11:32:24,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 32 min",,Power,0.02233796297,4
20,mtrishuli <->mgalchi [10G],,5/15/2025 12:36:05,5/15/2025 13:28:00,Link Down,********,Fiber Breakage,1st Jestha,"0 days, 00 hrs, 51 min",Informed to Shiva ji . ,Fiber,0.03605324074,4
21,mgauradha-sw1,FALSE,5/15/2025 13:16:13,5/15/2025 15:07:31,Switch,Eastern Region,Unknown,1st Jestha,"0 days, 01 hrs, 51 min",wireless radio link disconnection issue damak-gauradaha trunk link so this has been inform to team he will look into this issue after 2/3 hour,Unknown,0.07729166666,3
22,mpyuthan-sw1,TRUE,5/15/2025 14:20:26,5/15/2025 16:05:38,Switch,Western Region,Unknown,1st Jestha,"0 days, 01 hrs, 45 min",Issue has been informed to Prakash ji.,Unknown,0.07305555556,2
23,mjhumka-dls-sw1,FALSE,5/15/2025 14:31:06,5/15/2025 14:35:04,Switch,Eastern Region,Rebooted,1st Jestha,"0 days, 00 hrs, 03 min",,Power,0.002754629626,1
24,mtulsipur-dls-sw1,FALSE,5/15/2025 15:16:26,5/15/2025 15:20:44,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 04 min",,Power,0.002986111111,3
25,mkerkha-sw1,FALSE,5/15/2025 15:46:49,5/15/2025 20:28:59,Switch,Eastern Region,Rebooted,1st Jestha,"0 days, 04 hrs, 42 min",,Power,0.1959490741,3
26,mgauradha-sw1,FALSE,5/15/2025 14:58:25,5/15/2025 16:20:36,Switch,Eastern Region,Unknown,1st Jestha,"0 days, 01 hrs, 22 min",,Unknown,0.05707175926,3
27,mgaurigunj-sw1,FALSE,5/15/2025 15:11:05,5/15/2025 16:21:05,Switch,Eastern Region,Unknown,1st Jestha,"0 days, 01 hrs, 10 min",,Unknown,0.04861111111,1
28,mnarayanthan - mmaharajgunj [10G],,5/15/2025 15:27:06,5/15/2025 17:57:06,Link Down,********,Unknown,1st Jestha,"0 days, 02 hrs, 30 min",Acknowledged .We shall update on this after managing team.,Unknown,0.1041666667,1
29,mjumlabazaar-sw1,TRUE,5/15/2025 15:50:25,5/15/2025 16:12:39,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 22 min",,Power,0.01543981482,25
30,mchabahil <->mbouddha-sw1,,5/15/2025 15:42:06,5/15/2025 19:31:00,Link Down,********,Fiber Breakage,1st Jestha,"0 days, 03 hrs, 48 min",Informed to Jorpati team .,Fiber,0.1589583333,1
31,mdamak - mduhabi [40G],,5/15/2025 15:45:06,5/15/2025 20:05:00,Link Down,********,Fiber Breakage,1st Jestha,"0 days, 04 hrs, 19 min",Team is still working for the same ,Fiber,0.1804861111,1
32,mdamak <-> mjhiljhile [10G],,5/15/2025 15:44:06,5/15/2025 19:34:55,Link Down,********,Fiber Breakage,1st Jestha,"0 days, 03 hrs, 50 min",As per utswab ji Team is working for the same ,Fiber,0.1602893519,2
33,mlekhanath-ncs - mmarsyangdi[100G],,5/15/2025 16:43:00,5/15/2025 16:44:00,Link Flap,********,Link Flap,1st Jestha,"0 days, 00 hrs, 01 min",,Link Issue,0.0006944444467,1
34,mgalchi - mmalekhu[10G],,5/15/2025 16:42:00,5/15/2025 17:30:00,Link Down,********,Optical Power,1st Jestha,"0 days, 00 hrs, 48 min","As per Mahesh Jee, Team will looked for optical power optimization today after 10 am.",Fiber,0.03333333333,1
35,mjanakpur <-> mjaleshwore [10G],,5/15/2025 16:46:51,5/15/2025 17:01:52,Link Down,********,Fiber Breakage,1st Jestha,"0 days, 00 hrs, 15 min",,Fiber,0.01042824074,2
36,mmarsyangdi-te-0-0-0-12:To-mkurintar-te-0-0-13-LACP-[10G],,5/15/2025 16:52:54,5/15/2025 17:02:00,Traffic Congestion,********,Congestion,1st Jestha,"0 days, 00 hrs, 09 min",,Traffic Issue,0.006319444445,1
37,mjumlabazaar-sw1,TRUE,5/15/2025 16:52:39,5/15/2025 17:10:29,Switch,Far Western Region,Rebooted,1st Jestha,"0 days, 00 hrs, 17 min",,Power,0.01238425926,25
