SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
1,millam - mdamak [10G] - TM Fiber,FALSE,9/28/2024 17:15:20,,Link Down,********,Fiber Breakage,12th Ashoj,"309 days, 23 hrs, 28 min", millam - mdamak link will be maintain after 1/2 months due to NEA task is pending as pole is not shifted.,Fiber,,
2,mbardaghat - mbhairahawa [10G] - Optical,,2/18/2025 19:16:00,,Optical Power,********,Optical Power,5th Falgun,"166 days, 21 hrs, 28 min","AS per Dinesh ji , its raining there . If there is no rainfall team will maintain the link ahead . ",Fiber,,
3,murlabari-dls-sw1-mrangeli-dls-sw1,,3/24/2025 22:37:00,,CRC,********,CRC Issue,12th Chaitra,"132 days, 18 hrs, 07 min","Please proceed for the procurement of 5pairs 1270/1330nm, 60km SFP modules.",Fiber,,
4,Optical Optimization || mghorahi-mlamahi,,5/8/2025 12:41:00,,Optical Power,********,Optical Power,25th Baisakh,"88 days, 04 hrs, 03 min",Scenario has been explained to Dipendra Sir. We will share if we receive any updates.,Fiber,,
5,mbutwal-dh <-> mwaling [20G],,5/29/2025 7:59:01,,Link Down,********,Fiber Breakage,15th Jestha,"67 days, 08 hrs, 45 min"," As per Uddav Sir, Task is hold for now  due to an issue seems with NEA's network during the work, so matter will be looked after solving their problem. ",Fiber,,
6,mmalekhu - mkurintar-dls-sw1 [10G] || optics,,5/31/2025 15:34:24,,Optical Power,********,Optical Power,17th Jestha,"65 days, 01 hrs, 10 min",We will share if we received any update.,Fiber,,
7,Temperature issue of Kohalpur EDFA,,6/6/2025 12:53:00,,DTV issue,********,HIgh Temperature,23rd Jestha,"59 days, 03 hrs, 51 min",we have received below goods via buddha air. CN: 4009193,Temperature Issue,,
8,mgalchi - mbalaju [10G],,6/7/2025 18:39:48,,Optical Power,********,Optical Power,24th Jestha,"57 days, 22 hrs, 04 min",Call not received by Mahesh Jee at the moment. We will update once the call gets received.,Fiber,,
9,mitahari-mbelbari [20G],,6/20/2025 13:46:00,,Optical Power,********,Optical Power,6th Aasar,"45 days, 02 hrs, 58 min","As per Om ji, NEA team still fiber poles are not install at Khursani and Lalbitti side. Team will proceed after fiber poles installation. It will take 2-3days more..",Fiber,,
10,mbandipur-sw1-mdumre-sw1,,7/2/2025 20:36:23,,Link Down,********,Fiber Issue,18th Aasar,"32 days, 20 hrs, 08 min",As per Sundar ji Team is busy with another task team will look into the issue tomorrow ,Fiber,,
